agenda,sentence,relevance,category
Financial Analysis,Let's increase the forecasting frequency.,1,DECISION
Team Management,The team currently has fifteen members.,1,INFORMATION
College Project,The training dataset contains four thousand samples.,1,INFORMATION
Product Development,The product team decided to improve search.,1,DECISION
Website Performance Optimization,I am planning a trip next month.,0,IRRELEVANT
Software Development,I'll investigate the login crash.,1,ACTION
Team Management,Weekly meetings are held every Monday.,1,INFORMATION
College Project,The preprocessing step is producing errors.,1,PROBLEM
Software Development,I need to buy groceries.,0,IRRELEVANT
Website Development,The website is loading very slowly.,1,PROBLEM
College Project,I'll prepare the dataset for training.,1,ACTION
Event Planning,I'll prepare a new promotional plan.,1,ACTION
Software Development,What time is dinner?,0,IRRELEVANT
Team Management,We could introduce weekly progress meetings.,1,IDEA
Event Planning,The registration process is failing for several attendees.,1,PROBLEM
Website Development,The website has too many large images.,1,PROBLEM
Website Performance Optimization,The team agreed to compress the images.,1,DECISION
Website Performance Optimization,The page is loading extremely slowly.,1,PROBLEM
Event Planning,I'll review the event budget.,1,ACTION
Event Planning,Let's change the catering package.,1,DECISION
Software Development,The team agreed to add automated testing.,1,DECISION
Event Planning,We've agreed to invite another speaker.,1,DECISION
Website Development,I'll analyze the website performance.,1,ACTION
Team Management,The management team decided to prioritize urgent tasks.,1,DECISION
Financial Analysis,I'll analyze the regional revenue.,1,ACTION
Financial Analysis,The current budget covers the next twelve months.,1,INFORMATION
Marketing Campaign,The campaign is exceeding its budget.,1,PROBLEM
Event Planning,The event currently has three hundred registrations.,1,INFORMATION
College Project,The classes in our dataset are imbalanced.,1,PROBLEM
Marketing Campaign,Perhaps influencer marketing could help.,1,IDEA
Event Planning,The registration process is confusing.,1,PROBLEM
Website Development,Are you going to the movie tonight?,0,IRRELEVANT
Product Development,I'll prepare a dashboard redesign.,1,ACTION
Website Development,I'll compare the page load times.,1,ACTION
Marketing Campaign,I'll test the new advertisement.,1,ACTION
Software Development,Perhaps we should use automated testing.,1,IDEA
Website Performance Optimization,Most images on the website are currently PNG files.,1,INFORMATION
Software Development,The codebase has many duplicate functions.,1,PROBLEM
Product Development,We've decided to add personalization.,1,DECISION
College Project,The weather has been strange today.,0,IRRELEVANT
Team Management,Several assigned tasks are already past their deadlines.,1,PROBLEM
Event Planning,I'll analyze ticket sales.,1,ACTION
Marketing Campaign,The restaurant nearby is really good.,0,IRRELEVANT
Event Planning,We could increase social media promotion.,1,IDEA
Website Development,Maybe we should use WebP images.,1,IDEA
Website Performance Optimization,What time should we leave for dinner?,0,IRRELEVANT
Product Development,I watched a movie yesterday.,0,IRRELEVANT
Marketing Campaign,Maybe we should target a younger audience.,1,IDEA
Product Development,Several important features are missing.,1,PROBLEM
Product Development,I'll review the onboarding process.,1,ACTION
Financial Analysis,The company is spending too much on marketing.,1,PROBLEM
Team Management,I'll review the current task assignments.,1,ACTION
Team Management,Project updates are not being communicated properly.,1,PROBLEM
Product Development,Let's add the customer feedback feature.,1,DECISION
Product Development,What did you eat for breakfast?,0,IRRELEVANT
Team Management,The restaurant near the office is crowded today.,0,IRRELEVANT
Marketing Campaign,Our social media engagement is falling.,1,PROBLEM
Product Development,The product is too expensive for some users.,1,PROBLEM
Marketing Campaign,We agreed to increase social media activity.,1,DECISION
Event Planning,The event budget is too high.,1,PROBLEM
Website Performance Optimization,I'll check the image sizes.,1,ACTION
Event Planning,The conference includes six different sessions.,1,INFORMATION
Website Development,We could reduce the size of the JavaScript files.,1,IDEA
Financial Analysis,Operating costs have increased significantly.,1,PROBLEM
Website Development,The website currently uses PNG images.,1,INFORMATION
Software Development,Let's introduce centralized logging.,1,DECISION
Product Development,The product currently has four subscription plans.,1,INFORMATION
Website Development,I'll measure the mobile loading time.,1,ACTION
Website Development,Did you see the new restaurant nearby?,0,IRRELEVANT
Team Management,Two team members are assigned to the same task while another task has no owner.,1,PROBLEM
Event Planning,The event begins at nine o'clock in the morning.,1,INFORMATION
Team Management,Most tasks are tracked using a shared system.,1,INFORMATION
Event Planning,The venue cannot accommodate the expected number of participants.,1,PROBLEM
Event Planning,What time should we have lunch?,0,IRRELEVANT
Software Development,I'll add automated tests.,1,ACTION
Team Management,I'm going to the cinema tonight.,0,IRRELEVANT
Event Planning,I'll check the registration process.,1,ACTION
Event Planning,The cafeteria is serving lunch today.,0,IRRELEVANT
College Project,Are you joining us for dinner?,0,IRRELEVANT
Event Planning,Maybe we should adjust the event schedule.,1,IDEA
Software Development,Maybe we should introduce caching.,1,IDEA
Financial Analysis,I'll check the sales performance by region.,1,ACTION
Software Development,I'll profile the database queries.,1,ACTION
Team Management,Team meetings are becoming unproductive.,1,PROBLEM
Team Management,Some tasks are not clearly assigned.,1,PROBLEM
College Project,I watched a great movie yesterday.,0,IRRELEVANT
Event Planning,The event currently has six confirmed speakers.,1,INFORMATION
Team Management,I'll schedule a progress meeting.,1,ACTION
Event Planning,We could move the event to a larger venue.,1,IDEA
Website Performance Optimization,Users are experiencing slow page loading.,1,PROBLEM
Product Development,The current design is confusing.,1,PROBLEM
Team Management,There are four departments involved in the project.,1,INFORMATION
Website Development,The JavaScript bundle is approximately three megabytes.,1,INFORMATION
Team Management,The task board contains the assignments for this week.,1,INFORMATION
Event Planning,Perhaps we should simplify registration.,1,IDEA
College Project,Let's use Random Forest as the baseline model.,1,DECISION
Website Development,Perhaps a content delivery network would help.,1,IDEA
Financial Analysis,I'll investigate the increase in operating costs.,1,ACTION
Product Development,The team agreed to redesign the dashboard.,1,DECISION
Financial Analysis,Are you going to the party?,0,IRRELEVANT
Website Development,The current page takes too long to load.,1,PROBLEM
College Project,Did you watch the match last night?,0,IRRELEVANT
Marketing Campaign,Our conversion rate is too low.,1,PROBLEM
College Project,The weather was beautiful during the weekend.,0,IRRELEVANT
Product Development,We could redesign the main dashboard.,1,IDEA
Software Development,Perhaps we should improve the error handling.,1,IDEA
Website Development,The server response time is currently two seconds.,1,INFORMATION
Website Development,The website has several broken links.,1,PROBLEM
Team Management,I'll analyze the workload distribution.,1,ACTION
Website Development,We could optimize the mobile layout.,1,IDEA
Website Development,We decided to enable lazy loading.,1,DECISION
Event Planning,The current promotion is not attracting enough people.,1,PROBLEM
Website Development,Most visitors access the site from mobile devices.,1,INFORMATION
Website Performance Optimization,The website performance needs improvement.,1,PROBLEM
Website Development,Did you watch the football match yesterday?,0,IRRELEVANT
Financial Analysis,The current operating margin is eighteen percent.,1,INFORMATION
Financial Analysis,We could improve the pricing strategy.,1,IDEA
Team Management,The weather is really good today.,0,IRRELEVANT
Marketing Campaign,Customer engagement has declined.,1,PROBLEM
Team Management,The project deadline is next month.,1,INFORMATION
Marketing Campaign,Let's introduce the referral campaign.,1,DECISION
Team Management,We could introduce shorter meetings.,1,IDEA
Website Development,The average page load time is five seconds.,1,INFORMATION
Website Development,I need to call my friend later.,0,IRRELEVANT
Software Development,What are you eating for lunch?,0,IRRELEVANT
Team Management,We've agreed to introduce monthly feedback sessions.,1,DECISION
College Project,We could experiment with different preprocessing methods.,1,IDEA
Team Management,The workload is unevenly distributed.,1,PROBLEM
Financial Analysis,Maybe we should analyze regional sales.,1,IDEA
Website Performance Optimization,Perhaps a CDN would improve performance.,1,IDEA
Team Management,Maybe we should create a communication channel.,1,IDEA
Website Development,I'll check the broken links.,1,ACTION
College Project,I'll compare the classification models.,1,ACTION
Team Management,Three members are working on the backend.,1,INFORMATION
Financial Analysis,I bought a new phone yesterday.,0,IRRELEVANT
Software Development,Did you see the new restaurant?,0,IRRELEVANT
College Project,The project currently has four major modules.,1,INFORMATION
Event Planning,Several speakers have not confirmed attendance.,1,PROBLEM
College Project,Perhaps we should use feature selection.,1,IDEA
Software Development,The backend uses a relational database.,1,INFORMATION
Marketing Campaign,I'll check the campaign spending.,1,ACTION
Software Development,The development team uses Git for source code management.,1,INFORMATION
Team Management,The team is missing several deadlines.,1,PROBLEM
Marketing Campaign,We've agreed to change the landing page.,1,DECISION
Software Development,I'll refactor the duplicate functions.,1,ACTION
Product Development,The product has a high return rate.,1,PROBLEM
Marketing Campaign,Social media engagement increased last month.,1,INFORMATION
Software Development,We could refactor the authentication module.,1,IDEA
Financial Analysis,Marketing expenses account for twenty percent of costs.,1,INFORMATION
Product Development,The latest release was launched last month.,1,INFORMATION
Website Performance Optimization,The website has a serious performance issue.,1,PROBLEM
Event Planning,The event schedule has several conflicts.,1,PROBLEM
Team Management,Perhaps we should define responsibilities more clearly.,1,IDEA
Team Management,We could redistribute the workload.,1,IDEA
College Project,Our dataset contains too many missing values.,1,PROBLEM
Software Development,The deployment pipeline runs every evening.,1,INFORMATION
Website Performance Optimization,I'll test WebP conversion.,1,ACTION
Software Development,The API receives around ten thousand requests daily.,1,INFORMATION
Financial Analysis,The management decided to review supplier contracts.,1,DECISION
Website Development,I'll check the server response time.,1,ACTION
Website Development,We've agreed to compress the website assets.,1,DECISION
Event Planning,The registration system stops responding during peak usage.,1,PROBLEM
College Project,Our current accuracy is too low.,1,PROBLEM
College Project,I'll test different preprocessing techniques.,1,ACTION
Website Performance Optimization,I'll check which assets are slowing the page down.,1,ACTION
Financial Analysis,Revenue has declined this quarter.,1,PROBLEM
Website Performance Optimization,We decided to use WebP.,1,DECISION
Event Planning,Perhaps we should change the catering package.,1,IDEA
Software Development,I'll review the deployment pipeline.,1,ACTION
Event Planning,The conference schedule contains four technical sessions.,1,INFORMATION
Software Development,The latest build contains the new authentication module.,1,INFORMATION
Product Development,I need to buy a new laptop.,0,IRRELEVANT
Event Planning,I need to buy some clothes.,0,IRRELEVANT
Marketing Campaign,The team agreed to test video content.,1,DECISION
Website Development,The homepage contains around fifty images.,1,INFORMATION
Website Performance Optimization,We've decided to enable lazy loading.,1,DECISION
Financial Analysis,The latest sales figures are below the expected target.,1,PROBLEM
Website Performance Optimization,I will measure the page load time.,1,ACTION
Team Management,The team holds a progress meeting every Friday.,1,INFORMATION
Team Management,The team is struggling to prioritize tasks.,1,PROBLEM
Team Management,Let's introduce weekly progress meetings.,1,DECISION
Financial Analysis,Let's review the pricing strategy next month.,1,DECISION
College Project,The cafeteria has introduced a new menu.,0,IRRELEVANT
Financial Analysis,Did you watch the football match?,0,IRRELEVANT
Software Development,The current authentication system is unreliable.,1,PROBLEM
Software Development,My friend is coming tomorrow.,0,IRRELEVANT
College Project,I'll analyze the model errors.,1,ACTION
College Project,There are twelve features in the dataset.,1,INFORMATION
Software Development,The application consumes too much memory.,1,PROBLEM
Marketing Campaign,I'll prepare a new landing page.,1,ACTION
Product Development,Customers have requested twenty new features.,1,INFORMATION
Event Planning,The registration system is open for all participants.,1,INFORMATION
Marketing Campaign,We could experiment with video content.,1,IDEA
College Project,The model is giving poor predictions.,1,PROBLEM
Website Performance Optimization,The team chose WebP as the image format.,1,DECISION
Website Performance Optimization,I'll investigate the server configuration.,1,ACTION
Financial Analysis,We decided to reduce the marketing budget.,1,DECISION
Team Management,The team currently has twenty open tasks.,1,INFORMATION
Marketing Campaign,The current conversion rate is three percent.,1,INFORMATION
Product Development,The product has fifty thousand active users.,1,INFORMATION
Financial Analysis,We could improve our forecasting model.,1,IDEA
Software Development,Are you going to the gym today?,0,IRRELEVANT
Website Performance Optimization,Did you watch the football match yesterday?,0,IRRELEVANT
Software Development,The application stores user preferences in the database.,1,INFORMATION
College Project,We agreed to remove the duplicate records.,1,DECISION
Financial Analysis,We could reduce unnecessary expenses.,1,IDEA
Team Management,I bought a new pair of shoes.,0,IRRELEVANT
Software Development,The current application uses Python.,1,INFORMATION
College Project,Let's use the cleaned dataset for training.,1,DECISION
Event Planning,We could introduce early bird tickets.,1,IDEA
Event Planning,The event schedule contains overlapping sessions.,1,PROBLEM
Financial Analysis,We've agreed to monitor cash flow weekly.,1,DECISION
Team Management,What did you have for lunch?,0,IRRELEVANT
Software Development,We agreed to optimize the database queries.,1,DECISION
Website Performance Optimization,Visitors are experiencing delays when opening the homepage.,1,PROBLEM
Software Development,The application has around fifty thousand users.,1,INFORMATION
Software Development,I'll fix the authentication issue.,1,ACTION
Product Development,Customer retention is currently seventy percent.,1,INFORMATION
Event Planning,I'm planning a holiday next month.,0,IRRELEVANT
Website Development,What did you have for lunch?,0,IRRELEVANT
Marketing Campaign,We decided to target a younger audience.,1,DECISION
Product Development,I'll test the new search functionality.,1,ACTION
Software Development,The new movie was very entertaining.,0,IRRELEVANT
Website Development,I'll investigate the image sizes.,1,ACTION
Website Performance Optimization,I'll analyze the performance logs.,1,ACTION
Product Development,Customers are reporting errors in the new product.,1,PROBLEM
Event Planning,We could offer group discounts.,1,IDEA
Marketing Campaign,The marketing team decided to test influencers.,1,DECISION
Product Development,Users are struggling with the onboarding process.,1,PROBLEM
Software Development,I bought a new laptop yesterday.,0,IRRELEVANT
Event Planning,We've decided to increase promotion.,1,DECISION
Software Development,The database contains two million records.,1,INFORMATION
Website Development,I'll test the caching configuration.,1,ACTION
Software Development,The deployment process frequently fails.,1,PROBLEM
Financial Analysis,Perhaps we should focus on the most profitable products.,1,IDEA
Website Development,The website receives around ten thousand visitors daily.,1,INFORMATION
Event Planning,Maybe we should invite another speaker.,1,IDEA
Financial Analysis,The cost of operations is increasing.,1,PROBLEM
College Project,Perhaps we should engineer additional features.,1,IDEA
College Project,The model is taking too long to train.,1,PROBLEM
